id,slug,path,scraped
6075822,soft-meadow-floral-by-sweeterthanhoney,/en/fabric/6075822-soft-meadow-floral-by-sweeterthanhoney,0
1112778,rosie-riveter-by-spacefem,/en/fabric/1112778-rosie-riveter-by-spacefem,0
7924771,mod-triangles-emerald-teal-by-crystal_walen,/en/fabric/7924771-mod-triangles-emerald-teal-by-crystal_walen,0
7685381,dragon-fire-by-adenaj,/en/fabric/7685381-dragon-fire-by-adenaj,0
3817098,math-count-on-by-sammyk,/en/fabric/3817098-math-count-on-by-sammyk,0
2760166,chicken-boots-knit-fabric-regular-size-by-chickenboots,/en/fabric/2760166-chicken-boots-knit-fabric-regular-size-by-chickenboots,0
10704201,ew-covid-grey-by-kindermama,/en/fabric/10704201-ew-covid-grey-by-kindermama,0
8039248,forest-animal-hot-air-balloon-night-adventure-by-at_the_cottage,/en/fabric/8039248-forest-animal-hot-air-balloon-night-adventure-by-at_the_cottage,0
9608189,art-nouveau-poppy-red-wallpaper-by-bamokreativ,/en/fabric/9608189-art-nouveau-poppy-red-wallpaper-by-bamokreativ,0
4150617,nod-house-bird-by-katerhees,/en/fabric/4150617-nod-house-bird-by-katerhees,0
7502637,fable-floral-black-jumbo-by-nouveau_bohemian,/en/fabric/7502637-fable-floral-black-jumbo-by-nouveau_bohemian,0
4428343,pussies-galore-size-2-by-hippopottermiss,/en/fabric/4428343-pussies-galore-size-2-by-hippopottermiss,0
7944022,golden-girls-illustration-peach-by-yesterdaycollection,/en/fabric/7944022-golden-girls-illustration-peach-by-yesterdaycollection,0
8589383,art-deco-swans-cream-on-black-by-katerhees,/en/fabric/8589383-art-deco-swans-cream-on-black-by-katerhees,0
254642,stained-glass-rose-windows-by-sammyk,/en/fabric/254642-stained-glass-rose-windows-by-sammyk,0
7662668,mermaid-music-by-ceciliamok,/en/fabric/7662668-mermaid-music-by-ceciliamok,0
11160216,midcentury-sunflowers-by-ottomanbrim,/en/fabric/11160216-midcentury-sunflowers-by-ottomanbrim,0
4981816,black-white-dogs-by-littleislandcompany,/en/fabric/4981816-black-white-dogs-by-littleislandcompany,0
8056679,ruth-bader-ginsburg-rbg-bust-black-by-katerhees,/en/fabric/8056679-ruth-bader-ginsburg-rbg-bust-black-by-katerhees,0
7368347,dear-clementine-oranges-teal-by-crystal_walen,/en/fabric/7368347-dear-clementine-oranges-teal-by-crystal_walen,0
8345787,plain-white-solid-white-plain-unprinted-fabric-by-erin__kendal,/en/fabric/8345787-plain-white-solid-white-plain-unprinted-fabric-by-erin__kendal,0
6327300,call-mountains-evergreen-med-by-nouveau_bohemian,/en/fabric/6327300-call-mountains-evergreen-med-by-nouveau_bohemian,0
6675487,botanic-garden-by-irishvikingdesigns,/en/fabric/6675487-botanic-garden-by-irishvikingdesigns,0
6782514,eame-s-wildflower-meadow-by-hipkiddesigns,/en/fabric/6782514-eame-s-wildflower-meadow-by-hipkiddesigns,0
11484029,wild-grasses-by-ninola-design,/en/fabric/11484029-wild-grasses-by-ninola-design,0
5969845,woodland-gnomes-by-shelbyallison,/en/fabric/5969845-woodland-gnomes-by-shelbyallison,0
1306112,opal-by-peacoquettedesigns,/en/fabric/1306112-opal-by-peacoquettedesigns,0
7872207,art-deco-cranes-by-katerhees,/en/fabric/7872207-art-deco-cranes-by-katerhees,0
6812243,cute-kawaii-sushi-small-size-by-penguinhouse,/en/fabric/6812243-cute-kawaii-sushi-small-size-by-penguinhouse,0
7661255,just-jellies-jellyfish-by-katerhees,/en/fabric/7661255-just-jellies-jellyfish-by-katerhees,0
8405290,fable-floral-teal-jumbo-by-nouveau_bohemian,/en/fabric/8405290-fable-floral-teal-jumbo-by-nouveau_bohemian,0
8190767,christmas-gingerbread-cookies-on-dark-teal-small-by-heleen_vd_thillart,/en/fabric/8190767-christmas-gingerbread-cookies-on-dark-teal-small-by-heleen_vd_thillart,0
8197261,night-sky-stars-midnight-blue-by-at_the_cottage,/en/fabric/8197261-night-sky-stars-midnight-blue-by-at_the_cottage,0
6303118,cats-black-by-kimsa,/en/fabric/6303118-cats-black-by-kimsa,0
